All-Genes	Accession-1	Names
glnQ	b0809	glnQ // b0809 // ECK0798
glnS	b0680	glnS // b0680 // ECK0668
glnU	b0670	glnU // glnUalpha // supB // trnA // b0670 // ECK0659
glnV	b0665	glnV // Su2 // glnValpha // suII // supE // b0665 // ECK0656
glnW	b0668	glnW // glnU-beta // glnUbeta // b0668 // ECK0658
glnX	b0664	glnX // supE // glnV-beta // glnVbeta // b0664 // ECK0655
glnZ	b4836	glnZ // b4836 // ECK4693
gloA	b1651	gloA // b1651 // ECK1647
gloB	b0212	gloB // yafR // b0212 // ECK0212
gloC	b0927	gloC // ycbL // b0927 // ECK0918
glpA	b2241	glpA // b2241 // ECK2233
glpB	b2242	glpB // psi-51 // b2242 // ECK2234
glpC	b2243	glpC // b2243 // ECK2235
glpD	b3426	glpD // glyD // b3426 // ECK3412
glpE	b3425	glpE // b3425 // ECK3411
glpF	b3927	glpF // b3927 // ECK3919
glpG	b3424	glpG // b3424 // ECK3410
glpK	b3926	glpK // b3926 // ECK3918
glpQ	b2239	glpQ // b2239 // ECK2231
glpR	b3423	glpR // b3423 // ECK3409
glpT	b2240	glpT // b2240 // ECK2232
glpX	b3925	glpX // b3925 // ECK3917
glrK	b2556	glrK // yfhZ // yfhK // qseE // b2556 // ECK2553
glrR	b2554	glrR // yfhA // qseF // b2554 // ECK2551
glsA	b0485	glsA // ybaS // b0485 // ECK0479
glsB	b1524	glsB // yneH // b1524 // ECK1517
gltA	b0720	gltA // gluT // icdB // b0720 // ECK0709
gltB	b3212	gltB // psiQ // ossB // aspB // b3212 // ECK3202
gltD	b3213	gltD // psiQ // ossB // aspB // b3213 // ECK3203
gltF	b3214	gltF // ossB // b3214 // ECK3204
gltI	b0655	gltI // yzzK // ybeJ // b0655 // ECK0648
gltJ	b0654	gltJ // b0654 // ECK0647
gltK	b0653	gltK // b0653 // ECK0646
gltL	b0652	gltL // b0652 // ECK0645
gltP	b4077	gltP // b4077 // ECK4070
gltS	b3653	gltS // gltC // b3653 // ECK3643
gltT	b3969	gltT // tgtB // b3969 // ECK3961
gltU	b3757	gltU // tgtC // b3757 // ECK3751
gltV	b4008	gltV // tgtE // b4008 // ECK4000
gltW	b2590	gltW // b2590 // ECK2588
gltX	b2400	gltX // gltM // gluRS // b2400 // ECK2394
gluQ	b0144	gluQ // yadB // b0144 // ECK0143
glvB	b3682	glvB // yidN // yidO // b3682 // ECK3674
glvC	b3683	glvC // ptiC // b3683 // ECK3675
glvG	b4556	glvG // b3681 (obsolete) // ECK3672 (obsolete) // ysdC // yidM // b4556 // ECK3673
glxK	b0514	glxK // glxB5 // ybbZ // b0514 // ECK0507
glxR	b0509	glxR // glxB1 // ybbQ // b0509 // ECK0502
glyA	b2551	glyA // b2551 // ECK2548
glyQ	b3560	glyQ // cfcA // glyS(A) // b3560 // ECK3548
glyS	b3559	glyS // b3559 // ECK3547
glyT	b3978	glyT // sumA // sup15B // supA36 // b3978 // ECK3969
glyU	b2864	glyU // supT // suA36 // sufD // sumA // sumB // b2864 // ECK2860
glyV	b4163	glyV // glyValpha // ins // mutA // suA58 // suA78 // b4163 // ECK4159
glyW	b1911	glyW // ins // mutC // suA58 // suA78 // b1911 // ECK1910
glyX	b4164	glyX // glyVbeta // b4164 // ECK4160
glyY	b4165	glyY // glyVgamma // b4165 // ECK4161
gmd	b2053	gmd // yefN // yefA // b2053 // ECK2047
gmhA	b0222	gmhA // yafI // lpcA // tfrA // b0222 // ECK0223
gmhB	b0200	gmhB // yaeD // b0200 // ECK0200
gmk	b3648	gmk // spoR // b3648 // ECK3638
gmm	b2051	gmm // nudD // wcaH // yefC // b2051 // ECK2045
gnd	b2029	gnd // b2029 // ECK2024
gndA		UNCLASSIFIED
gnsA	b4517	gnsA // yccL // sfa // b4517 // ECK0982
gnsB	b1550	gnsB // ydfY // b1550 // ECK1544
gntK	b3437	gntK // b3437 // ECK3422
gntP	b4321	gntP // yjiB // b4321 // ECK4312
gntR	b3438	gntR // b3438 // ECK3423
gntT	b3415	gntT // gntTalpha // yhgC // gntM // usgA // b3415 // ECK3402
gntU	b4476	gntU // b3435 // b3436 // b4476 // ECK3421
gor	b3500	UNCLASSIFIED
gph	b3385	gph // yhfE // b3385 // ECK3372
gpmA	b0755	gpmA // gpm // b0755 // ECK0744
gpmM	b3612	gpmM // gpmC // pgmI // gpmI // yibO // b3612 // ECK3602
gpp	b3779	gpp // gppA // b3779 // ECK3771
gpr	b3001	gpr // mgrA // yghZ // b3001 // ECK2995
gpsA	b3608	gpsA // b3608 // ECK3598
gpt	b0238	gpt // glyD // gpp // gxu // b0238 // ECK0239
grcA	b2579	grcA // yfiD // b2579 // ECK2577
greA	b3181	greA // b3181 // ECK3170
greB	b3406	greB // b3406 // ECK3393
groL	b4143	groL // groEL // mopA // b4143 // ECK4137
groS	b4142	groS // groES // mopB // b4142 // ECK4136
grpE	b2614	grpE // b2614 // ECK2610
grxA	b0849	grxA // grx // b0849 // ECK0840
grxB	b1064	grxB // b1064 // ECK1049
grxC	b3610	grxC // yibM // b3610 // ECK3600
grxD	b1654	grxD // ydhD // b1654 // ECK1650
gshA	b2688	gshA // gsh-I // b2688 // ECK2683
gshB	b2947	gshB // gsh-II // b2947 // ECK2942
gsiA	b0829	gsiA // yliA // b0829 // ECK0819
gsiB	b0830	gsiB // yliB // b0830 // ECK0820
gsiC	b0831	gsiC // yliC // b0831 // ECK0821
gsiD	b0832	gsiD // yliD // b0832 // ECK0822
gsk	b0477	gsk // b0477 // ECK0471
gspA	b3323	gspA // yheD // b3323 // ECK3310
gspB	b3322	UNCLASSIFIED
gspC	b3324	gspC // yheE // b3324 // ECK3311
gspD	b3325	gspD // yheF // b3325 // ECK3312
gspE	b3326	gspE // yheG // b3326 // ECK3313
gspF	b3327	gspF // hofF // hopF // b3327 // ECK3314
gspG	b3328	gspG // hofG // hopG // b3328 // ECK3315
gspH	b3329	gspH // hofH // hopH // b3329 // ECK3316
gspI	b3330	gspI // yheH // b3330 // ECK3317
gspJ	b3331	gspJ // yheI // b3331 // ECK3318
gspK	b3332	gspK // yheJ // b3332 // ECK3319
gspL	b3333	gspL // yheK // b3333 // ECK3320
gspM	b3334	gspM // hopZ // pshM // b3334 // ECK3321
gspO	b3335	gspO // hofD // hopD // hopO // yheC // b3335 // ECK3322
gss	b2988	gss // gsp // b2988 // ECK2982
gstA	b1635	gstA // gst // b1635 // ECK1631
gstB	b0838	gstB // yliJ // b0838 // ECK0828
guaA	b2507	guaA // b2507 // ECK2503
guaB	b2508	guaB // guaR // b2508 // ECK2504
guaC	b0104	guaC // b0104 // ECK0104
guaD	b2883	guaD // ygfP // b2883 // ECK2879
gudD	b2787	gudD // ygcX // b2787 // ECK2781
gudP	b2789	gudP // gudT // ygcZ // b2789 // ECK2783
gudX	b2788	gudX // ygcY // b2788 // ECK2782
gutM	b2706	gutM // gut // srlM // b2706 // ECK2701
gutQ	b2708	gutQ // srlQ // b2708 // ECK2703
gyrA	b2231	gyrA // hisW // nalA // nfxA // norA // parD // b2231 // ECK2223
gyrB	b3699	gyrB // hopA // pcpA // pcbA // parA // nalC // Cou // acrB // himB // hisU // b3699 // ECK3691
hcaB	b2541	hcaB // yfhX // phdD // b2541 // ECK2538
hcaC	b2540	hcaC // yfhW // hcaa3 // phdB // b2540 // ECK2537
hcaD	b2542	hcaD // hcaa4 // phdA // yfhY // b2542 // ECK2539
hcaE	b2538	hcaE // yfhU // digA // phdC1 // hcaA // hcaA1 // b2538 // ECK2535
hcaF	b2539	hcaF // yfhV // hcaA // phdC2 // digB // hcaB // hcaA2 // b2539 // ECK2536
hcaR	b2537	hcaR // phdR // yfhT // b2537 // ECK2534
hcaT	b2536	hcaT // yfhS // b2536 // ECK2533
hchA	b1967	hchA // yzzC // yedU // b1967 // ECK1963
hcp	b0873	hcp // priS // ybjW // b0873 // ECK0864
hcr	b0872	hcr // ybjV // b0872 // ECK0863
hcxA	b0599	hcxA // ybdH // b0599 // ECK0593
hcxB	b0801	UNCLASSIFIED
hda	b2496	hda // idaB // yfgE // b2496 // ECK2492
hdeA	b3510	hdeA // yhiB // yhhC // b3510 // ECK3494
hdeB	b3509	hdeB // yhiC // yhhD // b3509 // ECK3493
hdeD	b3511	hdeD // yhiA // b3511 // ECK3495
hdfR	b4480	hdfR // b3762 // yifA // yifD // b3763 // b4480 // ECK3756
hdhA	b1619	hdhA // hsd // hsdH // b1619 // ECK1614
helD	b0962	helD // srjB // b0962 // ECK0953
hemA	b1210	hemA // gtrA // b1210 // ECK1198
hemB	b0369	hemB // ncf // b0369 // ECK0366
hemC	b3805	hemC // popE // b3805 // ECK3799
hemD	b3804	hemD // b3804 // ECK3798
hemE	b3997	hemE // b3997 // ECK3989
hemF	b2436	hemF // popB // sec // b2436 // ECK2431
hemG	b3850	hemG // yihB // b3850 // ECK3842
hemH	b0475	hemH // popA // visA // b0475 // ECK0469
hemL	b0154	hemL // gsa // popC // b0154 // ECK0153
hemN	b3867	hemN // yihJ // b3867 // ECK3860
hemW	b2955	hemW // yggW // b2955 // ECK2950
hemX	b3803	UNCLASSIFIED
hemY	b3802	hemY // b3802 // ECK3796
hflC	b4175	hflC // hflA // b4175 // ECK4171
hflD	b1132	UNCLASSIFIED
hflK	b4174	hflK // hslY // hflA // b4174 // ECK4170
hflX	b4173	hflX // hslX // hflA // b4173 // ECK4169
hfq	b4172	hfq // b4172 // ECK4168
hha	b0460	hha // b0460 // ECK0454
hicA	b4532	hicA // yncN // b4532 // ECK1431
hicB	b1438	hicB // ydcQ // b1438 // ECK1432
higA	b3082	higA // ygjM // b3082 // ECK3072
higB	b3083	higB // ygjN // b3083 // ECK3073
hinT	b1103	hinT // ycfF // b1103 // ECK1089
hipA	b1507	hipA // b1507 // ECK1500
hipB	b1508	hipB // b1508 // ECK1501
hipH	b4385	UNCLASSIFIED
hisA	b2024	hisA // b2024 // ECK2019
hisB	b2022	hisB // b2022 // ECK2017
hisC	b2021	hisC // b2021 // ECK2016
hisD	b2020	hisD // b2020 // ECK2015
hisF	b2025	hisF // b2025 // ECK2020
hisG	b2019	hisG // b2019 // ECK2014
hisH	b2023	hisH // b2023 // ECK2018
hisI	b2026	hisI // hisE // hisIE // b2026 // ECK2021
hisJ	b2309	hisJ // b2309 // ECK2303
hisL	b2018	hisL // b2018 // ECK2013
hisM	b2307	hisM // b2307 // ECK2301
hisP	b2306	hisP // b2306 // ECK2300
hisQ	b2308	hisQ // b2308 // ECK2302
hisR	b3797	hisR // hisT // b3797 // ECK3790
hisS	b2514	hisS // b2514 // ECK2510
hiuH	b1970	UNCLASSIFIED
hldE	b3052	hldE // yqiF // rfaE // gmhC // waaE // b3052 // ECK3042
hlyE	b1182	hlyE // ycgD // clyA // hpr // sheA // b1182 // ECK1170
hmp	b2552	hmp // fsrB // hmpA // b2552 // ECK2549
hns	b1237	hns // B1 // H1 // virR // topX // topS // pilG // osmZ // msyA // irk // hnsA // bglY // cur // drc // drdX // drs // fimG // b1237 // ECK1232
hofB	b0107	UNCLASSIFIED
hofC	b0106	hofC // yacD // hopC // b0106 // ECK0105
hofM	b3395	hofM // yrfD // b3395 // ECK3382
hofN	b3394	hofN // yrfC // b3394 // ECK3381
hofO	b3393	hofO // yrfB // b3393 // ECK3380
hofP	b3392	hofP // yrfA // b3392 // ECK3379
hofQ	b3391	hofQ // hopQ // b3391 // ECK3378
hokA	b4455	hokA // yiaZ // b4455 // ECK3544
hokB	b4428	hokB // ydcB // b4428 // ECK1412
hokC	b4412	hokC // gef // b4412 // ECK0017
hokD	b1562	hokD // relF // b1562 // ECK1556
hokE	b4415	UNCLASSIFIED
holA	b0640	holA // b0640 // ECK0633
holB	b1099	holB // b1099 // ECK1085
holC	b4259	holC // b4259 // ECK4252
holD	b4372	holD // b4372 // ECK4363
holE	b1842	holE // b1842 // ECK1843
hpf	b3203	hpf // yhbH // b3203 // ECK3192
hprR	b1969	hprR // yedW // b1969 // ECK1965
hprS	b1968	hprS // yedV // b1968 // ECK1964
hpt	b0125	hpt // b0125 // ECK0124
hrpA	b1413	hrpA // b1413 // ECK1406
hrpB	b0148	UNCLASSIFIED
hscA	b2526	hscA // hsc // b2526 // ECK2523
hscB	b2527	hscB // yfhE // b2527 // ECK2524
hscC	b0650	hscC // ybeW // b0650 // ECK0643
hsdM	b4349	hsdM // hsm // hsp // b4349 // ECK4339
hsdR	b4350	hsdR // hsp // hsr // b4350 // ECK4340
hsdS	b4348	hsdS // hsp // hss // rm // b4348 // ECK4338
hslJ	b1379	hslJ // ydbI // b1379 // ECK1376
hslO	b3401	hslO // yrfI // b3401 // ECK3388
hslR	b3400	hslR // hsp15 // yrfH // b3400 // ECK3387
hslU	b3931	hslU // clpY // htpI // b3931 // ECK3923
hslV	b3932	hslV // yiiC // clpQ // htpO // b3932 // ECK3924
hspQ	b0966	hspQ // yccV // b0966 // ECK0957
hsrA	b3754	hsrA // yieO // b3754 // ECK3748
htpG	b0473	htpG // b0473 // ECK0467
htpX	b1829	htpX // b1829 // ECK1828
htrE	b0139	htrE // b0139 // ECK0138
htrL	b3618	UNCLASSIFIED
hupA	b4000	hupA // b4000 // ECK3992
hupB	b0440	hupB // dpeA // dbhB // hopD // b0440 // ECK0434
hxpA	b2293	UNCLASSIFIED
hxpB	b1727	hxpB // yniC // b1727 // ECK1725
hyaA	b0972	hyaA // b0972 // ECK0963
hyaB	b0973	hyaB // b0973 // ECK0964
hyaC	b0974	hyaC // cybH // b0974 // ECK0965
hyaD	b0975	hyaD // b0975 // ECK0966
hyaE	b0976	hyaE // b0976 // ECK0967
hyaF	b0977	hyaF // b0977 // ECK0968
hybA	b2996	hybA // hydL // b2996 // ECK2990
hybB	b2995	hybB // b2995 // ECK2989
hybC	b2994	hybC // b2994 // ECK2988
hybD	b2993	hybD // b2993 // ECK2987
hybE	b2992	hybE // b2992 // ECK2986
hybF	b2991	hybF // b2991 // ECK2985
hybG	b2990	hybG // b2990 // ECK2984
hybO	b2997	hybO // yghV // b2997 // ECK2991
hycA	b2725	hycA // hevA // b2725 // ECK2720
hycB	b2724	hycB // hevB // b2724 // ECK2719
hycC	b2723	hycC // hevC // b2723 // ECK2718
hycD	b2722	hycD // hevD // b2722 // ECK2717
hycE	b2721	hycE // hevE // b2721 // ECK2716
hycF	b2720	hycF // hevF // b2720 // ECK2715
hycG	b2719	hycG // hevG // b2719 // ECK2714
hycH	b2718	hycH // hevH // b2718 // ECK2713
hycI	b2717	hycI // b2717 // ECK2712
hydN	b2713	hydN // b2713 // ECK2708
hyfA	b2481	hyfA // yffE // b2481 // ECK2477
hyfB	b2482	hyfB // yffF // b2482 // ECK2478
hyfC	b2483	hyfC // b2483 // ECK2479
hyfD	b2484	hyfD // b2484 // ECK2480
hyfE	b2485	hyfE // b2485 // ECK2481
hyfF	b2486	hyfF // b2486 // ECK2482
hyfG	b2487	hyfG // b2487 // ECK2483
hyfH	b2488	hyfH // b2488 // ECK2484
hyfI	b2489	hyfI // b2489 // ECK2485
hyfJ	b2490	hyfJ // b2490 // ECK2486
hyfR	b2491	hyfR // b2491 // ECK2487
hyi	b0508	hyi // ybbG // gip // b0508 // ECK0501
hypA	b2726	hypA // b2726 // ECK2721
hypB	b2727	hypB // hydB // b2727 // ECK2722
hypC	b2728	hypC // b2728 // ECK2723
hypD	b2729	hypD // hydF // b2729 // ECK2724
hypE	b2730	hypE // hydB // b2730 // ECK2725
hypF	b2712	hypF // hydA // b2712 // ECK2707
hypT	b4327	hypT // qseD // yjiE // b4327 // ECK4318
hyuA	b2873	UNCLASSIFIED
iaaA	b0828	iaaA // spt // ybiK // b0828 // ECK0818
iadA	b4328	iadA // yjiF // b4328 // ECK4319
iap	b2753	iap // b2753 // ECK2748
ibaG	b3190	UNCLASSIFIED
ibpA	b3687	ibpA // hslT // htpN // b3687 // ECK3679
ibpB	b3686	ibpB // hslS // htpE // b3686 // ECK3678
ibsA	b4667	ibsA // b4667 // ECK4482
ibsB	b4668	ibsB // b4668 // ECK4483
ibsC	b4665	ibsC // b4665 // ECK4480
ibsD	b4664	ibsD // b4664 // ECK4479
ibsE	b4666	ibsE // b4666 // ECK4481
icd	b1136	icd // icdE // icdA // b1136 // ECK1122
icdC	b4519	icdC // b4519 // ECK1146
iclR	b4018	iclR // b4018 // ECK4010
idi	b2889	idi // ygfV // b2889 // ECK2884
idlP	b4722	UNCLASSIFIED
idnD	b4267	idnD // yjgV // b4267 // ECK4260
idnK	b4268	idnK // gntV // b4268 // ECK4261
idnO	b4266	idnO // yjgU // b4266 // ECK4259
idnR	b4264	idnR // gntS? // gntH // yjgS // b4264 // ECK4257
idnT	b4265	idnT // gntW // yjgT // b4265 // ECK4258
igaA	b3398	igaA // yrfF // b3398 // ECK3385
ihfA	b1712	ihfA // hid // himA // b1712 // ECK1710
ihfB	b0912	ihfB // hip // himD // b0912 // ECK0903
ileS	b0026	ileS // ilvS // b0026 // ECK0027
ileT	b3852	ileT // tilA // b3852 // ECK3844
ileU	b3277	ileU // tilD // b3277 // ECK3264
ileV	b0202	ileV // b0202 // ECK0202
ileX	b3069	ileX // b3069 // ECK3059
ileY	b2652	ileY // b2652 // ECK2648
ilvA	b3772	ilvA // ile // b3772 // ECK3764
ilvB	b3671	ilvB // b3671 // ECK3662
ilvC	b3774	ilvC // b3774 // ECK3766
ilvD	b3771	ilvD // b3771 // ECK3763
ilvE	b3770	ilvE // b3770 // ECK3762
ilvG	b4488	ilvG // ilvO // b3767 // b3768 // b4488 // ECK3760
ilvH	b0078	ilvH // brnP // b0078 // ECK0080
ilvI	b0077	ilvI // b0077 // ECK0079
ilvL	b3766	ilvL // b3766 // ECK3759
ilvM	b3769	ilvM // b3769 // ECK3761
ilvN	b3670	ilvN // b3670 // ECK3661
ilvX	b4669	ilvX // b4669 // ECK4484
ilvY	b3773	ilvY // b3773 // ECK3765
inaA	b2237	inaA // yfaG // b2237 // ECK2229
infA	b0884	infA // bypA1 // b0884 // ECK0875
infB	b3168	infB // ssyG // b3168 // ECK3157
infC	b1718	infC // fit // srjA // b1718 // ECK1716
insA1	b0022	insA1 // b0022 // ECK0023
insA2	b0265	insA2 // b0265 // ECK0023
insA3	b0275	insA3 // b0275 // ECK0023
insA4	b4516	insA4 // b4516 // ECK0023
insA5	b1894	insA5 // b1894 // ECK0023
insA6	b3444	insA6 // b3444 // ECK0023
insA7	b4294	insA7 // b4294 // ECK0023
insA9	b4709	insA9 // b4709 // ECK4566
insAB1		insAB1
insAB2		insAB2
insAB3		insAB3
insAB4		insAB4
insAB5		insAB5
insAB6		insAB6
insB1	b0021	insB1 // b0021 // ECK0022
insB2	b0264	insB2 // b0264 // ECK0022
insB3	b0274	insB3 // b0274 // ECK0022
insB4	b0988	insB4 // b0988 // ECK0022
insB5	b1893	insB5 // b1893 // ECK0022
insB6	b3445	insB6 // b3445 // ECK0022
insB7	b4576	insB7 // b4563 // b4564 // b4576 // ECK0022
insB9	b4710	insB9 // b4710 // ECK4567
insC1	b0360	insC1 // yi21-1 // b0360 // ECK0357
insC2	b1403	insC2 // yi21-2 // b1403 // ECK0357
insC3	b1997	insC3 // yi21-3 // b1997 // ECK0357
insC4	b2861	insC4 // yi21-4 // b2861 // ECK0357
insC5	b3044	insC5 // yi21-5 // b3044 // ECK0357
insC6	b4272	insC6 // yi21-6 // b4272 // ECK0357
insCD1		insCD1
insCD2		insCD2
insCD3		insCD3
insCD4		insCD4
insCD5		insCD5
insCD6		insCD6
insD1	b0361	insD1 // yi22-1 // b0361 // ECK0358
insD2	b1402	insD2 // yi22-2 // b1402 // ECK0358
insD3	b1996	insD3 // yi22-3 // b1996 // ECK0358
insD4	b2860	insD4 // yi22-4 // b2860 // ECK0358
insD5	b3045	insD5 // yi22-5 // b3045 // ECK0358
insD6	b4273	insD6 // yi22-6 // b4273 // ECK0358
insD7	b1578	insD7 // insD // b1578 // ECK1572
insE1	b0298	insE1 // b0298 // ECK0298
insE2	b0373	insE2 // b0373 // ECK0298
insE3	b0540	insE3 // b0540 // ECK0298
insE4	b1027	insE4 // b1027 // ECK0298
insE5	b2088	insE5 // b2088 // ECK0298
insEF1		insEF1
insEF2		insEF2
insEF3		insEF3
insEF4		insEF4
insEF5		insEF5
insF1	b0299	insF1 // tra5-5 // b0299 // ECK0299
insF2	b0372	insF2 // tra5-1 // b0372 // ECK0299
insF3	b0541	insF3 // tra5-2 // b0541 // ECK0299
insF4	b1026	insF4 // tra5-3 // b1026 // ECK0299
insF5	b2089	insF5 // tra5-4 // b2089 // ECK0299
insG	b4278	insG // yi41 // b4278 // ECK4268
insH1	b0259	insH1 // trs5 // trs5-1 // yi52_1 // b0259 // ECK0261
insH10	b3218	insH10 // trs5-10 // yi52_10 // b3218 // ECK0261
insH11	b3505	insH11 // yi52_11 // trs5-11 // b3505 // ECK0261
insH2	b0552	insH2 // trs5-2 // yi52_2 // b0552 // ECK0261
insH21	b4711	insH21 // b4711 // ECK4568
insH3	b0656	insH3 // trs5-3 // yi52_3 // b0656 // ECK0261
insH4	b1331	insH4 // trs5-4 // yi52_4 // b1331 // ECK0261
insH5	b1370	insH5 // yi52_5 // trs5-5 // b1370 // ECK0261
insH6	b1994	insH6 // yi52_6 // trs5-6 // b1994 // ECK0261
insH7	b2030	insH7 // yi52_7 // trs5-7 // b2030 // ECK0261
insH8	b2192	insH8 // trs5-8 // yi52_8 // b2192 // ECK0261
insH9	b2982	insH9 // trs5-9 // yi52_9 // b2982 // ECK0261
insI1	b0256	insI1 // tra8-1 // b0256 // ECK0258
insI2	b4708	insI2 // b4708 // ECK4564
insI2	b1404	insI2 // tra8-2 // b1404 // ECK0258
insI3	b4284	insI3 // tra8-3 // b4284 // ECK0258
insJ	b3557	insJ // yi5A // b3557 // ECK3545
insJK		UNCLASSIFIED
insK	b3558	insK // dinS // yi5B // t150 // b3558 // ECK3546
insL1	b0016	insL1 // yi81-1 // b0016 // ECK0016
insL2	b0582	insL2 // yi81-2 // b0582 // ECK0016
insL3	b2394	insL3 // yi81-3 // b2394 // ECK0016
insM	b4561	insM // b4561 // ECK4273
insN	b4587	insN // yi91a // b0255 // b0257 // b4587 // ECK0257
insO	b4623	insO // yi91 // yi91b // b4283 // ECK0257 // insN2 // insO2 // b4285 // ECK4274 // b4562 // ECK4275 // yjhW // b4623 // ECK4476
insQ	b1432	insQ // ydcM // tnpB // b1432 // ECK1426
insX	b4505	insX // ykgN // ECK0266 // b4505 // ECK4473
insZ	b4573	insZ // ychG // b1240 // b1239 // b4573 // ECK1234
intA	b2622	intA // intX // slpA // b2622 // ECK2618
intB	b4271	intB // int(P4) // yjgC // b4271 // ECK4264
intD	b0537	intD // int // b0537 // ECK0530
intE	b1140	intE // int(Lambda) // ycfI // b1140 // ECK1126
intF	b0281	intF // yagO // b0281 // ECK0280
intG	b1936	intG // b1936 // ECK1934
intQ	b1579	intQ // b1579 // ECK1573
intR	b1345	intR // ydaP // b1345 // ECK1342
intS	b2349	intS // intC // yfdB // b2349 // ECK2343
intZ	b2442	intZ // b2442 // ECK2437
ipeX		UNCLASSIFIED
iprA	b0375	iprA // yaiV // b0375 // ECK0370
iraD	b4326	iraD // yjiD // b4326 // ECK4317
iraM	b1160	iraM // elb1 // ycgW // elbA // b1160 // ECK1147
iraP	b0382	iraP // yaiB // b0382 // ECK0377
iroK	b4706	iroK // b4706 // ECK4518
IS128		IS128
iscA	b2528	iscA // yfhF // b2528 // ECK2525
iscR	b2531	iscR // yfhP // b2531 // ECK2528
iscS	b2530	iscS // nuvC // yzzO // yfhO // b2530 // ECK2527
iscU	b2529	iscU // yfhN // nifU // b2529 // ECK2526
iscX	b2524	iscX // yfhJ // b2524 // ECK2521
ispA	b0421	ispA // b0421 // ECK0415
ispB	b3187	ispB // cel // yhbD // b3187 // ECK3176
ispD	b2747	ispD // ygbP // b2747 // ECK2742
ispE	b1208	ispE // ipk // ychB // b1208 // ECK1196
ispF	b2746	ispF // ygbB // b2746 // ECK2741
ispG	b2515	ispG // gcpE // b2515 // ECK2511
ispH	b0029	ispH // yaaE // lytB // b0029 // ECK0030
ispU	b0174	ispU // uppS // rth // yaeS // b0174 // ECK0173
ispZ	b4809	ispZ // b4809 // ECK4666
isrC	b4435	isrC // IS102 // b4435 // ECK1992
istR	b4616	istR // psrA19 // istR-1 // istR-2 // b4616 // ECK4425
istR-1		istR-1
ivbL	b3672	ivbL // b3672 // ECK3663
ivy	b0220	ivy // ykfE // b0220 // ECK0221
jayE	b1152	jayE // ymfP // b1152 // ECK1138
katE	b1732	katE // b1732 // ECK1730
katG	b3942	katG // b3942 // ECK3934
kbaY	b3137	kbaY // yraC // kba // agaY // b3137 // ECK3125
kbaZ	b3132	kbaZ // yhaX // agaZ // b3132 // ECK3120
kbl	b3617	kbl // b3617 // ECK3607
kbp	b2665	kbp // yzzM // ygaU // b2665 // ECK2659
kch	b1250	kch // b1250 // ECK1244
kdgK	b3526	kdgK // yhjI // b3526 // ECK3511
kdgR	b1827	kdgR // yebP // b1827 // ECK1826
kdgT	b3909	kdgT // b3909 // ECK3902
kdpA	b0698	kdpA // kac // b0698 // ECK0686
kdpB	b0697	kdpB // kac // b0697 // ECK0685
kdpC	b0696	kdpC // kac // b0696 // ECK0684
kdpD	b0695	kdpD // kac // b0695 // ECK0683
kdpE	b0694	kdpE // b0694 // ECK0682
kdpF	b4513	kdpF // b4513 // ECK0687
kdsA	b1215	kdsA // b1215 // ECK1203
kdsB	b0918	kdsB // b0918 // ECK0909
kdsC	b3198	kdsC // yrbJ // yrbI // b3198 // ECK3187
kdsD	b3197	kdsD // yrbH // b3197 // ECK3186
kduD	b2842	kduD // yqeD // ygeC // b2842 // ECK2840
kduI	b2843	kduI // yqeE // b2843 // ECK2841
kefB	b3350	kefB // trkB // b3350 // ECK3338
kefC	b0047	kefC // trkC // b0047 // ECK0048
kefF	b0046	kefF // yabF // b0046 // ECK0047
kefG	b3351	kefG // yheR // b3351 // ECK3339
kgtP	b2587	kgtP // witA // b2587 // ECK2585
kilR	b1352	kilR // ydaD // kil // b1352 // ECK1350
kilS	b4833	UNCLASSIFIED
kptA	b4331	kptA // yjiI // b4331 // ECK4322
kup	b3747	kup // trkD // b3747 // ECK3741
lacA	b0342	lacA // b0342 // ECK0339
lacI	b0345	lacI // b0345 // ECK0342
lacY	b0343	lacY // b0343 // ECK0340
lacZ	b0344	lacZ // b0344 // ECK0341
lafU	b0230	lafU // mbhA // b0230 // ECK0231
lamB	b4036	lamB // malL // malB // b4036 // ECK4028
lapA	b1279	lapA // yciS // b1279 // ECK1274
lapB	b1280	lapB // yciM // b1280 // ECK1275
lapC	b2188	lapC // yejN // pbgA // yejM // b2188 // ECK2182
ldcA	b1192	ldcA // ycgQ // b1192 // ECK1180
ldcC	b0186	ldcC // ldc // ldcH // b0186 // ECK0185
ldhA	b1380	ldhA // htpH // hslF // hslI // b1380 // ECK1377
ldrA	b4419	ldrA // b4419 // ECK1204
ldrB	b4421	ldrB // b4421 // ECK1206
ldrC	b4423	ldrC // b4423 // ECK1208
ldrD	b4453	ldrD // b4453 // ECK3524
ldtA	b1990	ldtA // yzzT // yeeG // erfK // b1990 // ECK1985
ldtB	b0819	ldtB // ybiS // b0819 // ECK0809
ldtC	b1113	ldtC // ycfS // b1113 // ECK1099
ldtD	b0925	ldtD // ycbB // b0925 // ECK0916
ldtE	b1678	ldtE // ynhG // b1678 // ECK1674
lepA	b2569	lepA // b2569 // ECK2567
lepB	b2568	lepB // lep // b2568 // ECK2566
letA	b1833	letA // yebS // b1833 // ECK1832
letB	b1834	letB // yebT // b1834 // ECK1833
leuA	b0074	leuA // b0074 // ECK0076
leuB	b0073	leuB // b0073 // ECK0075
leuC	b0072	leuC // b0072 // ECK0074
